id,code,first_name,second_name,web_name,team,position,price,fbref_id
326,14937,Cristiano Ronaldo,dos Santos Aveiro,Ronaldo,14,F,10.2,
329,90152,Raphaël,Varane,Varane,14,D,4.8,9f8e9423
330,95658,Harry,Maguire,Maguire,14,D,4.7,d8931174
331,101582,Frederico,Rodrigues de Paula Santos,Fred,14,M,5.1,b853e0ad
332,106760,Luke,Shaw,Shaw,14,D,5.4,9c94165b
333,141746,Bruno,Borges Fernandes,Fernandes,14,M,9.8,507c7bdf
335,176297,Marcus,Rashford,Rashford,14,M,7.3,a1d5bd30
337,184667,Victor,Lindelöf,Lindelöf,14,D,4.1,f5deef4c
338,195851,Scott,McTominay,McTominay,14,M,4.9,d93c2511
340,209243,Jadon,Sancho,Sancho,14,M,7.1,dbf053da
341,214590,Aaron,Wan-Bissaka,Wan-Bissaka,14,D,4.3,9e525177
342,216051,Diogo,Dalot Teixeira,Dalot,14,D,4.7,d9565625
